[2014-04-29 21:15:16] EDIT KAT/models/db.py: 0
[2014-04-29 21:15:36] EDIT KAT/controllers/default.py: -3
[2014-04-29 21:15:51] EDIT KAT/models/db.py: 0
[2014-04-29 21:16:50] EDIT KAT/models/db.py: 0
[2014-04-29 21:17:14] EDIT KAT/models/db.py: -3
[2014-04-29 21:17:24] EDIT KAT/controllers/default.py: 3
[2014-04-29 21:17:35] EDIT KAT/controllers/default.py: 0
[2014-04-29 21:17:42] EDIT KAT/controllers/default.py: -3
[2014-04-29 21:17:54] EDIT KAT/models/db.py: -1
[2014-04-29 21:21:42] EDIT KAT/views/default/index.html: 2
[2014-04-29 21:22:39] EDIT KAT/views/default/index.html: 0
[2014-04-29 21:23:04] EDIT KAT/views/default/admin_user.html: 0
[2014-05-01 17:19:48] EDIT KAT/views/default/index.html: 0
[2014-05-01 17:20:24] EDIT KAT/views/default/index.html: -2
[2014-05-01 17:23:29] EDIT KAT/views/default/index.html: 0
[2014-05-01 17:30:15] EDIT KAT/controllers/default.py: 1
[2014-05-01 17:31:50] EDIT KAT/controllers/default.py: 0
[2014-05-01 17:32:20] EDIT KAT/controllers/default.py: 1
[2014-05-01 17:32:34] EDIT KAT/controllers/default.py: 1
[2014-05-01 17:32:42] EDIT KAT/controllers/default.py: 0
